"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:06:21-60307)",
552.7706216239,-68.0915314927970028,788.92327411811,-59.5615814273229913,797.59663614937,-61.30957890068999885,900.2825202402,-65.71117161319799015,924.9452653316,-64.52424050773200265,978.72855888319,-78.5284357046199941,1257.65289286807,-69.35837226238697875,1861.32634487027,-89.1288679367050061,1880.68618622154,-70.22690414795698615,1953.26747069487,-66.8909682807500016
553.9706216239,-68.0915314927970028,790.12327411811,-59.5615814273229913,798.79663614937,-61.30957890068999885,901.4825202402,-65.71117161319799015,926.1452653316,-64.52424050773200265,979.92855888319,-78.5284357046199941,1258.85289286807,-69.35837226238697875,1862.52634487027,-89.1288679367050061,1881.88618622154,-70.22690414795698615,1954.46747069487,-66.8909682807500016
1592.12992228777,-77.48067080772298685,1542.79738492692,-56.41666841130799505,2586.28429958803,-65.0585957796780006,2418.01849673438,-67.3901433049090028,1461.71098555947,-59.6865443173839905,1941.30949794894,-71.4046739450329821,1833.3852996093,-79.56194278589200015,2575.10993820349,-77.99629703603198975,2327.30564814132,-68.1726417579170059,2279.8078862239,-77.5462247501880026
2568.99399635847,-78.7112259570149885,2600.62379827915,-73.8441401320079931,3230.38901041465,-61.66866128787499655,3436.67722675321,-68.84779095638498315,2850.75367284648,-55.68858217370799925,2774.15301651911,-70.3912227267649936,2919.65468048758,-81.052951283157,3462.97134864022,-71.38493382308499215,3543.81430157791,-71.78210547399999065,2787.00800697648,-73.16381764561100425
4025.81255492266,-79.14065253126500435,4708.07140322952,-70.8694756896499881,6115.00076001311,-64.97699109037998235,3624.19617795595,-63.8295913161519903,4690.48645792395,-59.2325734898980014,6246.68849580157,-75.39754391853898565,4921.64117601354,-65.10318121964198185,4993.80257490757,-72.7442497952490039,4680.41079683513,-83.36014644045698635,3088.57392270382,-75.3537043133320023
4634.64546865984,-75.0975034280459963,5831.53190528149,-67.4656457944179803,7011.32996753763,-63.75519383653499955,3875.79479106884,-66.2579959363249881,6001.45882608434,-63.79762522701099655,8161.53075094022,-75.16468765157497925,5150.88550122051,-89.92975667614899715,7334.29453806896,-82.02369265694500175,6803.15745077707,-62.63377135860699215,3633.43104834447,-76.5762283191999981
6800.40914703047,-88.9120784036439883,6352.61072386222,-63.12531202163499675,10045.27253743117,-66.2472583736000045,5237.72651287045,-66.555200797699001,6763.88251280322,-70.0235573272499888,10435.23792013187,-74.8235717858939889,5426.41343825882,-76.2601799522809925,8102.75711295599,-75.6758244120319998,8394.71357607426,-64.21612989669497985,4203.32861615493,-73.81620598522198375
7441.38269229434,-91.3292065978060063,6584.03169832139,-71.298036767035995,14771.66773679634,-70.030319957128995,5568.63639655058,-58.8835206716859998,9177.89894080718,-55.2848845010069992,10627.3334937765,-71.03887871664500125,6421.87708162549,-83.0133808354100036,8441.10323165466,-70.17351194732398735,8838.04797207555,-61.6089913149789934,5241.17868914011,-65.01412994609898965
7706.31763243577,-76.08614019678898875,8114.88011476071,-59.2849414555630003,15010.47629374224,-70.7559294578829846,5995.17220858708,-70.89744958649498565,9583.62528717809,-69.1996125389649988,11077.04686172266,-75.6061234212489804,8647.96107106736,-64.23987547849898735,8909.89892329376,-77.16997597841898905,9320.62318723629,-67.62445507958798855,5653.90855586695,-70.99276737524098705
8669.91032622096,-75.56328466088700655,9456.89985844731,-66.27119584850299785,16263.55439024507,-65.43662575431099505,6505.16303993246,-65.7645387751459791,10757.6954239725,-59.16113597401799465,12275.19824956706,-67.2014042869959948,9381.18640724194,-70.6604082470209958,11180.60903319444,-81.2183532280259894,10038.98902244754,-65.5653130420539864,6679.59441527759,-70.17232214214598655
